product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/bruton-lite-sports-shoes-running-men/p/itm223d4d611fb99?pid=SHOGPRSVSAVXK6HH&lid=LSTSHOGPRSVSAVXK6HHTJEWPS&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGP8WjTWLKgqCZUiHb6x7xhcGvgmgbO8wAl8KcAPbPtEg%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Lite Sports Shoes Running Shoes For Men,BRUTON ,500,0.79,3.9,47169
https://www.flipkart.com/action-athleo-atg-424-light-weight-comfortable-trendy-running-breathable-gym-walking-shoes-men/p/itm05ba4c824036e?pid=SHOGAFP5NWZK4PPA&lid=LSTSHOGAFP5NWZK4PPAFQ37EF&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGAkMrwc6D5PDaaraHpI9oWZJk_bny3V2PDNeAJHaZTg_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"Athleo ATG-424 Light Weight,Comfortable,Trendy,Running, Breathable,Gym Walking Shoes For Men",action ,549,0.71,4.1,87385
https://www.flipkart.com/aeonik-white-high-premium-quality-running-shoes-men/p/itm211ab9e3debb0?pid=SHOH2TRHZUMJQEMQ&lid=LSTSHOH2TRHZUMJQEMQTAWYJK&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMELoct-EBIb0e2xNZyNtv9DO-m0SD3gulAEVOzSc8P5zg%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,WHITE HIGH PREMIUM QUALITY Running Shoes For Men,Aeonik ,500,0.74,3.7,11488
https://www.flipkart.com/dsc-beamer-cricket-shoe-size-10uk-11us-44eu-lightweight-highly-durable-shoes-men/p/itm75b9ab1e0e7b2?pid=SHOFK87PXZH37RE5&lid=LSTSHOFK87PXZH37RE5ILOD0C&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOFK87PXZH37RE5.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"DSC Beamer Cricket Shoe, Size: 10UK/11US/44EU, Lightweight & Highly Durable Cricket Shoes For Men",DSC ,501,0.44,4.2,15874
https://www.flipkart.com/winprice-running-shoes-men/p/itm20c37b5cd5ae7?pid=SHOG5H3BUBHSGAVZ&lid=LSTSHOG5H3BUBHSGAVZ7GYIPR&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOG5H3BUBHSGAVZ.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Running shoes for men Running Shoes For Men,Winprice ,419,0.58,3.8,39
https://www.flipkart.com/red-tape-athleisure-sport-shoes-men-classic-rounded-toe-impact-cushioning-walking/p/itm3f759eac8b470?pid=SHOGYYZGQ5TGGTFV&lid=LSTSHOGYYZGQ5TGGTFV2XCNNW&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGYYZGQ5TGGTFV.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"Athleisure Sport Shoes for Men |Classic Rounded Toe, Impact Cushioning Walking Shoes For Men",RED TAPE ,2309,0.7,4.2,14360
https://www.flipkart.com/birde-premium-lightweight-comfortable-regular-wear-walking-shoes-men/p/itm187a24f0950e9?pid=SHOGZH39ZZBK8YSN&lid=LSTSHOGZH39ZZBK8YSNYRXCTB&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGmSi2qvICE7Gi_4UgGYls5N_aVDjzTvzAWhnmLNhwohQ%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Premium Lightweight Comfortable Regular Wear Walking Shoes For Men,Birde ,500,0.66,4,54184
https://www.flipkart.com/urbanbox-running-shoes-walking-sports-men/p/itme64898a7d0529?pid=SHOH9NEHAUH7CWP7&lid=LSTSHOH9NEHAUH7CWP7LZLPZG&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMEpohzfFylCo84qckBpWuvrHQYdwgYIs25InsuwluD_qw%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Running Shoes Walking Sports Shoes Running Shoes For Men,URBANBOX ,478,0.76,3.7,605
https://www.flipkart.com/abros-avalon-on-running-shoes-men/p/itm8568597108f5d?pid=SHOGZV4VQYBEHFJU&lid=LSTSHOGZV4VQYBEHFJUF3NLVK&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&spotlightTagId=default_TrendingId_osp%2Fcil%2F1cu&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGZV4VQYBEHFJU.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,AVALON-ON Running Shoes For Men,Abros ,1211,0.59,4,801
https://www.flipkart.com/dartkick-men-s-stylish-lace-up-sports-shoes-party-wear-men/p/itmef846812500fb?pid=SHOHEZHBUUGNQTEU&lid=LSTSHOHEZHBUUGNQTEUJTZJVH&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOHEZHBUUGNQTEU.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,DARTKICK Men's Stylish Lace-Up Sports Shoes Party Wear For Men,DARTKICK ,449,0.55,,
https://www.flipkart.com/richerson-running-shoes-mens-walking-gaming-and-playing-men/p/itm9b1507f714f7d?pid=SHOGVVVCWCJQHNST&lid=LSTSHOGVVVCWCJQHNSTHPYEXV&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMHTV-XiPyQusSxCACgUhXywTsgfst1CvKcgTw0Z7EPE9A%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"RICHERSON RUNNING SHOES MENS,WALKING,GAMING,AND PLAYING SHOES Running Shoes For Men",richerson ,907,0.79,4,7322
https://www.flipkart.com/abros-super-running-shoes-men/p/itm462b4ff6e1a88?pid=SHOGW3TUF6G4QWFR&lid=LSTSHOGW3TUF6G4QWFRIMBYJJ&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMHZr4w6ZwXLq55Z0dffOH1rJb5eXdgkhkYTMaBXjNJIsUhz9c-MSIoFe8xMxkfU6dM%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,SUPER Running Shoes For Men,Abros ,1119,0.55,3.9,9877
https://www.flipkart.com/campus-crysta-pro-running-shoes-men/p/itm4c7f055fafd03?pid=SHOGANAAYNRDTZ5V&lid=LSTSHOGANAAYNRDTZ5VYUCLGZ&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&spotlightTagId=default_BestsellerId_osp%2Fcil%2F1cu&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGANAAYNRDTZ5V.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,CRYSTA PRO Running Shoes For Men,CAMPUS ,1011,0.32,4.2,196866
https://www.flipkart.com/world-wear-footwear-latest-range-trendy-shoe-running-shoes-men/p/itm2cb4c6f967e6e?pid=SHOG3SHQE5GHBYMF&lid=LSTSHOG3SHQE5GHBYMF0GANFM&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMFaM7jT_cmC4pZ7Z_lWw0esM6wWPCXncbM5rbyqTRUNLA%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Latest Range of Trendy Shoe Running Shoes For Men,World Wear Footwear ,323,0.67,3.5,958
https://www.flipkart.com/campus-mike-n-running-shoes-men/p/itm49384c15bc01b?pid=SHOG2EYZBHK6ZBFC&lid=LSTSHOG2EYZBHK6ZBFC9AHPUZ&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&spotlightTagId=default_BestsellerId_osp%2Fcil%2F1cu&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOG2EYZBHK6ZBFC.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,MIKE Running Shoes For Men,CAMPUS ,907,0.54,4.2,456518
https://www.flipkart.com/liberty-force10-rokky-4-sports-shoes-pvc-sole-comfortable-non-lacing-jogging-walking-men/p/itm696973ec495ff?pid=SHOGGHW4EFPPHPYT&lid=LSTSHOGGHW4EFPPHPYTJATJS2&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUME23I4DYVTxS6L4IAjTbhH31xtKtz5Ek3YBPIB8RU3UZYnfEY2D5bWfIUmTlXs_oiU%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Force10 ROKKY-4 Sports Shoes With PVC Sole | Comfortable Non-Lacing Jogging & Walking Shoes For Men,LIBERTY ,478,0.52,3.9,3251
https://www.flipkart.com/birde-zeng-stylish-memory-foam-soft-comfortable-lightweight-regular-wear-shoes-walking-men/p/itme3c2583275468?pid=SHOGT7F5FBJWU2HC&lid=LSTSHOGT7F5FBJWU2HCNL9GC9&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMGGBDmnK_Jrsx24Gjzr6r4SABt4AMGeGl7Ad5CiU_5syQ%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,ZenG Stylish Memory Foam Soft Comfortable LightWeight Regular Wear Shoes Walking Shoes For Men,Birde ,500,0.49,3.9,9681
https://www.flipkart.com/royal-fashion-shoes-men-casuals/p/itmc11176c62bf5e?pid=SHOHEH3JKBG3FDFT&lid=LSTSHOHEH3JKBG3FDFTKPQUA3&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOHEH3JKBG3FDFT.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Shoes For Men Casuals For Men,Royal Fashion ,449,0.35,,
https://www.flipkart.com/campus-mike-n-running-shoes-men/p/itm8f7228d1e224c?pid=SHOG2EYZKZPKF2RM&lid=LSTSHOG2EYZKZPKF2RM1XV0WJ&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOG2EYZKZPKF2RM.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,MIKE Running Shoes For Men,CAMPUS ,987,0.5,4.2,456518
https://www.flipkart.com/reebok-flylite-axton-m-running-shoes-men/p/itm2c23b3b0dd646?pid=SHOH8ZU9EBFFUUGQ&lid=LSTSHOH8ZU9EBFFUUGQMQQM3S&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMHtFfrrdNtwwH_EMDZyQF5z3T-pikD6DDKXTdKcNJmNk_cUmN_6PwCReg_VTM4VLxo%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,FLYLITE AXTON M Running Shoes For Men,REEBOK ,1349,0.46,4,13
https://www.flipkart.com/bruton-hockey-931-sports-running-shoes-men/p/itmf38ca3d6109fb?pid=SHOH9SXYZKZJ7YSK&lid=LSTSHOH9SXYZKZJ7YSKOXPA1I&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMH47U1pDpbOevpr6sYrIpAbDpwdao095loBGblt47irWQ%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,HOCKEY-931 | Sports Running Shoes For Men,BRUTON ,500,0.79,3.8,195
https://www.flipkart.com/campus-magnite-running-shoes-men/p/itmc7a5a66116964?pid=SHOG6BNZF8AFHVHH&lid=LSTSHOG6BNZF8AFHVHHIGA15F&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOG6BNZF8AFHVHH.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,MAGNITE Running Shoes For Men,CAMPUS ,664,0.52,4.2,124886
https://www.flipkart.com/merjohn-party-wear-men/p/itm57d9062403037?pid=SHOHEBFE3GHHR9MZ&lid=LSTSHOHEBFE3GHHR9MZ9NLYNM&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOHEBFE3GHHR9MZ.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Party Wear For Men,MERJOHN ,449,0.71,,
https://www.flipkart.com/adidas-glideease-m-running-shoes-men/p/itma400490472c7c?pid=SHOGGW2RCKGHAGHH&lid=LSTSHOGGW2RCKGHAGHHHX6ASM&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGGW2RCKGHAGHH.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,GlideEase M Running Shoes For Men,ADIDAS ,1347,0.55,4.1,55694
https://www.flipkart.com/puma-supreme-comfort-running-shoes-men/p/itm1bf4a3c5bf835?pid=SHOGG58V9NDJMEFZ&lid=LSTSHOGG58V9NDJMEFZKYCQOA&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGG58V9NDJMEFZ.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,Supreme Comfort Running Shoes For Men,PUMA ,960,0.67,4.1,413
https://www.flipkart.com/jqr-global-sports-shoes-walking-lightweight-trekking-stylish-running-shoes-men/p/itmc07cdbe340802?pid=SHOGHZNRHMBXAWUC&lid=LSTSHOGHZNRHMBXAWUCH5HNRL&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMEViN0-Ru01jxPpdPtYRgymderiSKaoMg0w8zBauHC1k_C9wi2h83IXS3CZUjDq0kk%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"GLOBAL Sports shoes, Walking, Lightweight, Trekking, Stylish Running Shoes For Men",JQR ,909,0.46,4.1,20409
https://www.flipkart.com/hotstyle-tpu-walking-shoes-men/p/itma3dfa1af58b2f?pid=SHOHFY3PYKZQ2YYX&lid=LSTSHOHFY3PYKZQ2YYX59JQNR&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_bm5QU8q4ud5PXhVCfi0LX35YS6sIQNYrCSZI5llqUMFFmKQkdJBVuUI75lKOHZsSqc4Fojw9TjiVNr_nngqCdA%3D%3D&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,TPU Walking Shoes For Men,HOTSTYLE ,650,0.71,3.9,9142
https://www.flipkart.com/campus-oxyfit-n-men-s-casual-shoes-memory-foam-pillofoam-comfort-slip-on-walking-men/p/itmd25926768544e?pid=SHOGA3HAHFKF5NBC&lid=LSTSHOGA3HAHFKF5NBC15OTFJ&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGA3HAHFKF5NBC.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,OXYFIT Men's Casual Shoes | Memory Foam & PilloFoam Comfort | Slip-On Walking Shoes For Men,CAMPUS ,350,0.64,4.2,166501
https://www.flipkart.com/red-tape-sports-walking-shoes-men-soft-cushioned-insole-slip-resistance/p/itmfbdb2006d2b74?pid=SHOGVWNQ46EFWKKG&lid=LSTSHOGVWNQ46EFWKKGAZQAA2&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=1d0e572b-19e3-45ce-87a2-f0adea1da9a1.SHOGVWNQ46EFWKKG.SEARCH&ppt=sp&ppn=sp&ssid=qegqyx5c4w0000001755851412114&qH=f972ce6c5fecb395,"Sports Walking Shoes for Men | Soft Cushioned Insole, Slip-Resistance Walking Shoes For Men",RED TAPE ,1366,0.82,4.2,9604
